timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732990474682,170,HTTP Request,200,OK,Thread Group 1-17,text,true,,535,129,29,29,http://172.23.66.36:3000/proceso_c,170,0,23
1732990474655,200,HTTP Request,200,OK,Thread Group 1-14,text,true,,521,129,29,29,http://172.23.66.36:3000/proceso_c,200,0,54
1732990474654,210,HTTP Request,200,OK,Thread Group 1-4,text,true,,507,129,29,29,http://172.23.66.36:3000/proceso_c,210,0,52
1732990474654,211,HTTP Request,200,OK,Thread Group 1-10,text,true,,521,129,29,29,http://172.23.66.36:3000/proceso_c,211,0,51
1732990474655,211,HTTP Request,200,OK,Thread Group 1-12,text,true,,521,129,27,27,http://172.23.66.36:3000/proceso_c,211,0,50
1732990474654,212,HTTP Request,200,OK,Thread Group 1-9,text,true,,535,129,27,27,http://172.23.66.36:3000/proceso_c,212,0,52
1732990474654,213,HTTP Request,200,OK,Thread Group 1-8,text,true,,507,129,25,25,http://172.23.66.36:3000/proceso_c,213,0,51
1732990474654,212,HTTP Request,200,OK,Thread Group 1-7,text,true,,521,129,24,24,http://172.23.66.36:3000/proceso_c,212,0,51
1732990474655,215,HTTP Request,200,OK,Thread Group 1-13,text,true,,535,129,23,23,http://172.23.66.36:3000/proceso_c,215,0,50
1732990474655,195,HTTP Request,200,OK,Thread Group 1-11,text,true,,521,129,29,29,http://172.23.66.36:3000/proceso_c,191,0,51
1732990474708,178,HTTP Request,200,OK,Thread Group 1-19,text,true,,521,129,22,22,http://172.23.66.36:3000/proceso_c,178,0,1
1732990474654,233,HTTP Request,200,OK,Thread Group 1-2,text,true,,521,129,21,21,http://172.23.66.36:3000/proceso_c,233,0,51
1732990474696,198,HTTP Request,200,OK,Thread Group 1-18,text,true,,521,129,20,20,http://172.23.66.36:3000/proceso_c,198,0,11
1732990474654,242,HTTP Request,200,OK,Thread Group 1-6,text,true,,549,129,19,19,http://172.23.66.36:3000/proceso_c,242,0,50
1732990474736,164,HTTP Request,200,OK,Thread Group 1-21,text,true,,507,129,19,19,http://172.23.66.36:3000/proceso_c,164,0,1
1732990474656,244,HTTP Request,200,OK,Thread Group 1-15,text,true,,521,129,19,19,http://172.23.66.36:3000/proceso_c,244,0,50
1732990474722,178,HTTP Request,200,OK,Thread Group 1-20,text,true,,507,129,17,17,http://172.23.66.36:3000/proceso_c,178,0,1
1732990474655,246,HTTP Request,200,OK,Thread Group 1-3,text,true,,521,129,17,17,http://172.23.66.36:3000/proceso_c,246,0,50
1732990474654,258,HTTP Request,200,OK,Thread Group 1-5,text,true,,507,129,16,16,http://172.23.66.36:3000/proceso_c,258,0,52
